epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1648,0.55101,2.8556,1.00682,0.88724,0.88873,0.92386,0.8731,0.35053,0.69721,1.08031,0.000195263,0.000195263,0.000195263
2,76.4968,0.29117,0.68901,0.86601,0.9744,0.98328,0.97592,0.93553,0.23507,0.32522,1.04867,0.000383516,0.000383516,0.000383516
3,112.646,0.24304,0.45587,0.83366,0.99951,0.99919,0.995,0.98731,0.24348,0.28622,1.03966,0.000564008,0.000564008,0.000564008
4,148.672,0.22081,0.39502,0.82297,0.99978,0.9997,0.995,0.9943,0.16678,0.24772,1.02837,0.000553073,0.000553073,0.000553073
5,184.489,0.20622,0.36152,0.8168,0.99995,0.99996,0.995,0.99452,0.1627,0.21612,1.02804,0.00054143,0.00054143,0.00054143
6,220.742,0.18205,0.34036,0.81207,0.99979,0.99999,0.995,0.99323,0.1739,0.20462,1.03098,0.000529788,0.000529788,0.000529788
7,256.605,0.18095,0.31787,0.81178,0.9999,0.99981,0.995,0.99474,0.15545,0.18633,1.02549,0.000518146,0.000518146,0.000518146
8,291.773,0.16458,0.29971,0.80724,0.99975,0.99999,0.995,0.99465,0.13146,0.17755,1.023,0.000506503,0.000506503,0.000506503
9,327.26,0.15907,0.28994,0.80482,0.99991,1,0.995,0.99493,0.13268,0.17742,1.02547,0.000494861,0.000494861,0.000494861
10,362.55,0.15114,0.27583,0.8027,0.99996,1,0.995,0.99498,0.14403,0.18097,1.02572,0.000483218,0.000483218,0.000483218
11,397.484,0.1452,0.26756,0.80319,0.99993,0.99999,0.995,0.99498,0.12738,0.16405,1.02364,0.000471576,0.000471576,0.000471576
12,432.291,0.14419,0.25957,0.79966,0.99984,1,0.99498,0.99485,0.15069,0.15074,1.02392,0.000459934,0.000459934,0.000459934
